数据库：主要城市年度数据
地区：上海
时间：最近20年
指标,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年
房地产开发投资额(亿元),4231.38,4033.18,3856.53,3709.03,3468.94,3206.48,2819.59,2381.36,2253.83,1980.68,1462.07,1435.73,1307.53,1275.59,1246.86,1175.46,901.24,748.89,630.73,566.17
房地产开发住宅投资额(亿元),2318.13,2225.92,2152.40,1965.43,1813.32,1724.65,1615.51,1451.94,1465.52,1229.83,918.68,875.46,837.53,835.63,920.84,900.67,676.28,567.76,439.17,408.82
房地产开发办公楼投资额(亿元),689.36,692.71,642.20,695.95,654.54,534.77,377.18,262.85,227.90,224.46,187.93,194.08,157.51,124.29,102.18,83.24,66.67,33.52,26.22,57.47
房地产开发商业营业用房投资额(亿元),457.23,461.42,506.71,519.41,467.67,457.92,370.03,293.75,251.55,244.70,184.61,176.73,158.94,155.07,102.61,78.93,67.82,62.49,62.70,51.51
房地产开发企业施工房屋面积(万平方米),14802.97,14672.37,15362.25,15111.24,15095.33,14690.18,13516.58,13249.97,13033.17,11295.03,9949.45,10784.23,10766.72,10938.75,10462.39,9481.61,8267.51,6857.00,5986.18,5523.23
房地产开发企业竣工房屋面积(万平方米),2669.67,3115.76,3387.56,2550.64,2647.18,2313.29,2254.44,2305.06,2384.33,1941.25,2104.98,2570.74,3380.12,3274.27,3095.74,3443.02,2491.84,1984.70,1791.36,1643.62
房地产开发企业住宅竣工房屋面积(万平方米),,1730.27,1862.74,1532.88,1588.95,1535.55,1417.41,1609.13,1645.47,1396.05,1508.81,1801.45,2752.45,2699.11,2739.91,3076.19,2139.99,1708.10,,
商品房销售面积(万平方米),1696.34,1767.01,1691.60,2705.69,2431.36,2084.66,2382.20,1898.46,1790.86,2060.96,3372.45,2339.29,3694.96,3025.40,3158.87,3300.82,2376.40,1971.50,1796.64,1557.87
住宅商品房销售面积(万平方米),1353.70,1333.29,1341.62,2019.80,2009.17,1780.91,2015.81,1592.63,1500.00,1690.82,2928.04,2007.48,3279.17,2615.49,2845.70,3059.53,2224.50,1846.40,1681.48,1445.87
商品房平均销售价格(元/平方米),,26890.08,23804.00,24747.00,20949.00,16787.00,16420.00,14061.37,14603.24,14464.00,12840.00,8195.00,8361.00,7196.00,6842.00,5855.00,5118.00,4134.00,3866.00,3565.00
住宅商品房平均销售价格(元/平方米),,28981.11,24866.00,25910.00,21501.00,16415.00,16192.00,13869.88,13565.83,14290.00,12364.00,8115.00,8253.00,7039.00,6698.00,5761.21,4989.00,4007.00,3658.00,3326.00
房地产开发企业购置土地面积(万平方米),144.81,144.58,179.73,229.11,263.39,313.18,421.74,300.62,636.35,432.40,184.92,326.36,141.44,524.56,754.32,1038.76,1469.10,1010.30,739.03,592.66
房地产开发企业土地开发面积(万平方米),,,,,,,,,,237.80,87.85,137.60,137.20,250.67,558.42,672.76,605.50,339.30,246.48,165.58
数据来源：国家统计局
