名称,价格,居室,大小,状态,标签,区域,附近学校,地址
高速·时代首府,21198,3居/4居,95~137平米,在售,普通住宅/品牌地产,[二,,[二环以外]包河区上海路与西安路交口,
信达·天御,20799,3居/4居,95~123平米,在售,商住楼,[二,,[二环以外]包河区宿松路与龙图路交汇处往西100米,
龙湖·龙誉城,12500,3居/4居,95~119平米,在售,普通住宅/花园洋房/品牌地产/低总价,[二,,[二环以外]肥东新安江路与大众路交叉口,
新力东园,14200,3居,93~104平米,在售,普通住宅/花园洋房/品牌地产,[二,,[二环以外]瑶海区明皇路与王岗路交口西北角,
高速·蜀西湖畔,18500,2居/3居/4居,106~144平米,在售,普通住宅/品牌地产/公园地产,[二,,[二环以外]高新区长宁大道与云飞路交口向西150米,
乐富强悦融湾,17500,3居/4居,97~128平米,在售,普通住宅/花园洋房/品牌地产,[二,,[二环以外]包河区上海路与花园大道交口东南角,
信达·溪岸观邸,16000,3居/4居,128~144平米,在售,花园洋房/品牌地产,[二,,[二环以外]瑶海区长临路与龙岗路交口西南角,
中国铁建悦湖国际,11000,3居/4居,98~130平米,在售,普通住宅/花园洋房/品牌地产/不限购,[二,,[二环以外]长丰岗集镇合淮路与育才路交口,
新城滨湖云境,21000,3居/4居,98~214平米,在售,普通住宅/花园洋房/品牌地产,[二,,[二环以外]滨湖新区云南路与贵阳路交口,
华邦蜀山别院,24800,3居/4居,128~288平米,在售,别墅/品牌地产/山景地产,[二,,[二环以外]高新区望江西路与枫林路交口,
汇景中心,11000,汇景中心均价为：11000元/平方米,,在售,普通住宅/商住公寓/小户型/不限购,[二,,[二环以外]高新区望江西路与创新大道交汇处(管委会对面),
龙湖·景粼玖序,21700,3居/4居,105~147平米,在售,普通住宅/花园洋房/品牌地产/低密居所,包河,,包河区上海路与黄河路交叉口,
中建·开元御湖公馆,13755,3居/4居,95~146平米,在售,普通住宅/品牌地产/经济住宅/景观居所,[二,,[二环以外]新站区新蚌埠路与淮海大道交汇处东南侧,
金大地山语四季,19000,1居/3居,43~113平米,在售,普通住宅/商住公寓/品牌地产,[二,,[二环以外]蜀山区枫林路与井岗路交口西北角,
时代领峯,21500,3居/4居,95~120平米,在售,普通住宅/花园洋房/品牌地产/地铁沿线,[二,,[二环以外]包河区北京路与龙川路交口向东800米,
寿县恒大未来城,6350,2居/3居,81~109平米,在售,普通住宅/花园洋房/品牌地产,[二,,[二环以外]空港新区迎宾大道与寿州大道交叉口,
新滨湖恒大文化旅游城,6700,1居/2居/3居/4居,38~137平米,在售,商住楼/品牌地产/复合地产/旅游地产,[二,,[二环以外]合肥南三河古镇旁京台高速舒城出口西北侧,
金隅大成郡,18800,3居/4居,92~140平米,在售,普通住宅/品牌地产/地铁沿线,[二,,[二环以外]包河区东二环路与南淝河路交口东南,
文一锦门云栖新语,12800,3居/4居,89~108平米,在售,花园洋房/品牌地产/低密居所,[二,,[二环以外]瑶海区明皇路与顺祥路交口往北100米,
恒大阳光半岛,6268,3居,100~125平米,在售,普通住宅/品牌地产,[二,,[二环以外]空港新区新桥大道与阳光大道交口东南角,
新滨湖孔雀城,6788,1居/3居/4居,70~118平米,在售,普通住宅/花园洋房/复式/公园地产,[二,,[二环以外]滨湖南舒城产业新城京台高速出口东北侧,
招商花漫里,19000,招商花漫里在售商铺和写字楼,,在售,写字楼商铺/品牌地产,[二,,[二环以外]滨湖新区紫云路与上海路交口东南角,
新力弘阳·湖语时光,13000,3居,93~103平米,在售,普通住宅/花园洋房/低总价/小户型,[二,,[二环以外]新站区龙子湖路与张衡路交口东北角,
国开公馆,13000,2居/3居,83~96平米,在售,普通住宅/小户型/景观居所,[二,,[二环以外]包河大连路与重庆路交口东南角路交口东南角,
新慧御湖城,11500,2居/3居,80~122平米,在售,普通住宅/景观居所/水景地产/特色别墅,[二,,[二环以外]长丰凤麟大道与泉阳路交口(阜阳北路高架终点往东800米),
