名称,价格,居室,大小,状态,标签,区域,附近学校,地址
万科·城市之光,13200,3居,97平米,在售,联排/普通住宅/品牌地产,南湖,,南湖新区亚太路与横三路交汇处(南湖区.科技城北),
蓝城风荷九里,18000,蓝城风荷九里建面约160-420㎡中式合院在售,,在售,合院/花园洋房,秀洲,,秀洲新区王江泾镇_虹桥路北侧_荷东路西侧,
绿地·新里城,13200,2居/3居/4居,72~180平米,在售,普通住宅/叠拼,南湖,,南湖新区南湖区亚太路与锦带河路交汇处,
万科·环萃园,12250,3居,98~110平米,在售,普通住宅,城北,,城北东至城北路绿化带_南至信远朗庭用地界_西至锦云路_北至沐阳路,
碧桂园·枫景尚院,15900,2居/3居,68~88平米,在售,普通住宅,嘉善,,嘉善姚庄镇洪福东路与联展路南侧,
泛华·东福城,13300,3居/4居,112~126平米,在售,普通住宅/品牌地产,平湖,,平湖新华路与宏建路交汇处,
绿城·留香园,19150,3居/4居,116~169平米,在售,普通住宅/品牌地产/豪华居住区,南湖,,南湖新区嘉兴市南湖区科技城亚欧路(东北师大南湖实验学校)西侧,
龙光玖悦华府,17000,2居/3居/4居,70~125平米,在售,普通住宅/品牌地产/景观居所/水景地产,嘉善,,嘉善惠民街道晋阳东路与之江路交汇,
新浦西孔雀城·云樾东方,15000,3居/4居,89~110平米,在售,联排/普通住宅,嘉善,,嘉善惠民大道北侧_惠诚北路南侧_四明路西侧_新桥港东侧,
欣隆盛世·欣禧湾,9600,3居/4居,84~105平米,在售,普通住宅,南湖,,南湖新区新丰镇双龙路与登云路交叉口东南侧,
海伦堡·文星花苑,15093,3居/4居,93~143平米,在售,普通住宅,桐乡,,桐乡经济开发区文化路西侧、康乐路南侧,
绿城·乌镇雅园,24500,2居/3居,77~145平米,在售,普通住宅,桐乡,,桐乡镇南东路1118号,
中南正荣·海上明悦,11500,3居/4居,94~103平米,在售,普通住宅/品牌地产/小户型,平湖,,平湖新仓镇环西路与平廊路交汇处,
世合理想大地,11650,3居/4居,114~147平米,在售,别墅/品牌地产/特色别墅,南湖,,南湖新区果园路1弄88号,
世茂璀璨时代,17400,4居,131~165平米,在售,普通住宅/豪华居住区/水景地产,南湖,,南湖新区南溪东路与亚欧路交汇处(东北师大南湖实验学校对面),
绿地中央广场,14000,2居/3居/4居,65~128平米,在售,普通住宅/住宅底商/品牌地产/低总价,桐乡,,桐乡人民路与发展大道交叉口,
新西塘孔雀城,16400,2居/3居/4居,65~129平米,在售,联排/普通住宅/品牌地产/低总价,嘉善,,嘉善环西南路东侧_子胥路西侧_纬一路南侧.,
湘溪兰园,11000,3居/4居,79~140平米,在售,普通住宅,桐乡,,桐乡洲泉镇环城南路与永安路交口东侧_洲泉公交站对面,
恒顺·澜山悦,17500,3居/4居,75~135平米,在售,普通住宅/品牌地产/国际化社区,嘉善,,嘉善兴善大道与白水塘路交叉口,
万科·泊樾湾,18200,3居/4居,99~142平米,在售,普通住宅/花园洋房/国际化社区/豪华居住区,国际,,国际商务区长水路与庆丰路交叉口,
富力云庭雅居,14700,3居/4居,98~138平米,在售,普通住宅/住宅底商/宜居生态地产/公园地产,秀洲,,秀洲新区秀园路与成秀路交界处,
交投祥生·上湖轩,14800,3居/4居,98~175平米,在售,普通住宅/住宅底商/宜居生态地产,秀洲,,秀洲新区秀园路与成秀路交汇处,
中南·漫悦湾,12000,1居/2居/3居,49~85平米,在售,花园洋房/品牌地产,平湖,,平湖九龙山将军高尔夫俱乐部正对面,
石榴·清水湾,10300,3居,85~104平米,在售,普通住宅/花园洋房/品牌地产,秀洲,,秀洲新区王江泾07省道东侧_太平港南侧,
龙湖卓越·紫宸,14500,3居/4居,89~123平米,在售,普通住宅/花园洋房/品牌地产/国际化社区,平湖,,平湖平湖钟埭街道永兴路和新兴二路交叉口往南200米,
中南新悦府,12500,2居/3居,68~88平米,在售,普通住宅/品牌地产/小户型,平湖,,平湖独山港镇港城路与凤舞路交叉口往西约200米,
荣安金地万卷风华,18695,3居/4居,107~140平米,在售,普通住宅/花园洋房,桐乡,,桐乡秋实路梧桐花园西侧(200米),
旭辉M梦想城,16500,2居/3居/4居,65~112平米,在售,普通住宅/品牌地产,嘉善,,嘉善姚庄大道与兴学路南侧300米,
万科平澜玖著,17500,3居/4居,89~110平米,在售,普通住宅/品牌地产/宜居生态地产,平湖,,平湖福臻路与上海塘路交汇处,
万科·翡翠天御府,23176,3居/4居,135~155平米,在售,普通住宅/品牌地产,桐乡,,桐乡桐乡市振东新区和平东路与桂祺路交叉口,
龙湖·天宸原著,14500,3居/4居/5居/5居以上,89~225平米,在售,普通住宅/品牌地产/宜居生态地产,桐乡,,桐乡合悦大道与悦容路交汇处,
旭辉·光耀城,15500,2居/3居,65~87平米,在售,普通住宅/品牌地产/宜居生态地产,嘉善,,嘉善嘉善县魏塘街道g320国道与善西公路交叉口,
旭辉未来城,15500,2居/3居,65~105平米,在售,普通住宅/品牌地产,嘉善,,嘉善浙江省嘉善县姚庄镇河滨路268号综合楼,
金科·集美嘉悦,16800,2居/3居/4居,64~114平米,在售,普通住宅/品牌地产,嘉善,,嘉善姚庄镇姚庄大道和兴学路交汇处,
万科·朝起云山府,14500,3居/4居,84~130平米,在售,普通住宅/花园洋房,海宁,,海宁海昌街道俞家桥路与横山路交会处,
龙湖·春江天玺,16500,3居/4居,82~143平米,在售,普通住宅/花园洋房/品牌地产,平湖,,平湖南市路与毓秀路交叉路口,
龙湖·天宸原著二期,13600,3居/4居,89~123平米,在售,联排/双拼,桐乡,,桐乡高桥街道悦容路与合悦大道交叉口,
