名称,价格,居室,大小,状态,标签,区域,附近学校,地址
神州数码科技产业园,52,2居,99平米,在售,总部园区/小户型/复合地产/酒店式公寓,[中,,[中环以外]淀山湖镇万园路68号
象屿都城,140,1居/2居,65~107平米,在售,普通住宅/品牌地产/现房/低总价,[中,,[中环以外]花桥镇金中路188号
绿地象屿德馨嘉苑,180,2居/3居/4居,85~115平米,在售,普通住宅/花园洋房/品牌地产/地铁沿线,[中,,[中环以外]花桥镇绿地大道花园路交叉口(售楼地址:花桥绿地大道211号)
朗绿花园,180,3居,83~97平米,在售,花园洋房,[中,,[中环以外]花桥镇光明路1388号(光明路与花溪路交叉口)
建滔朗峰,635,2居,95平米,在售,普通住宅/商住公寓/品牌地产,[中,,[中环以内]开发区长江南路与合兴路交汇处
云湖御墅,750,5居/5居以上,188~276平米,在售,别墅/水景地产/特色别墅,[中,,[中环以外]淀山湖镇万园路188号
悠然雅居,800,4居,321~333平米,在售,别墅/宜居生态地产/打折优惠楼盘,[中,,[中环以外]巴城镇马鞍山西路与环城西路交汇处
长泰淀湖观园,980,4居,343~360平米,在售,别墅/湖景地产,[中,,[中环以外]淀山湖镇环淀山湖国际旅游区环湖大道
博富尚城,1000,1居,100平米,在售,商住公寓,[中,,[中环以外]花桥镇花桥绿地大道118号(苏宁电器往西50米)
兰亭园,1000,4居,275~355平米,在售,别墅/水景地产/豪华居住区,[请,,[请选择]巴城镇湖滨路5188号
时代御湖,1100,5居以上,550平米,在售,别墅/景观居所/特色别墅,[中,,[中环以外]锦溪镇锦淀路189号
英郡,1350,4居/5居,493~1134平米,在售,别墅/景观居所/特色别墅,[中,,[中环以外]巴城镇古城路与城北路口向西800米 (近星期九农庄)
云湖92墅,1500,5居以上,702平米,在售,别墅/特色别墅,[中,,[中环以外]淀山湖镇万园路188号
碧桂园·梦立方,8500,碧桂园·梦立方均价为：8500元/平方米,,在售,写字楼商铺/商业/品牌地产/小户型,[中,,[中环以内]开发区柏庐南路与创业路交汇处
新江北孔雀城,9000,2居/3居/4居,78~146平米,在售,联排/普通住宅/品牌地产,[请,,[请选择]安徽滁州来安产业新城104国道与汊河大桥交汇处
金湖银滩,9000,1居/3居/4居,36~59平米,在售,别墅/复合地产/特色别墅,[中,,[中环以外]巴城镇锦绣东路1号(近湖滨路)
联邦国际商务花园,9870,联邦国际商务花园在售洋房和公寓现房,,在售,商住公寓/不限购,[中,,[中环以内]玉山镇新南西路888号
九方城,10000,4居,,在售,普通住宅/商住公寓/国际化社区 /打折优惠楼盘,[中,,[中环以内]玉山镇紫竹路699号
大德玲珑湾2期萧林新天地,10000,1居,48~74平米,在售,普通住宅/酒店写字楼/小户型,[中,,[中环以内]玉山镇萧林路与紫竹路交界处
奥园印象高迪商铺,10300,奥园印象高迪商铺在售价格为：10300元/平方米,,在售,商住公寓/小户型,[中,,[中环以外]千灯镇景泾路以北_黄浦江路以东
金仓华府,10500,5居,,在售,别墅/品牌地产/豪华居住区/特色别墅,[中,,[中环以外]周边太仓市城厢镇县府西街与五洋路交汇处(之江国际西侧)
锦博佳园,11000,2居/3居/4居,97~131平米,在售,普通住宅/小户型/宜居生态地产,[中,,[中环以外]锦溪镇江浦路与学苑路交界处
花都艺墅,11000,1居,51~70平米,在售,别墅/景观居所/特色别墅,[中,,[中环以外]周市镇长江北路335号
山海天商贸城,11000,山海天商贸城11000元/平方米,,在售,商住楼/低总价/小户型/loft,[中,,[中环以外]开发区朝阳东路与富尔路交汇处
观源河畔,12000,1居/2居/3居,76~135平米,在售,普通住宅/商住公寓/品牌地产,[中,,[中环以外]千灯镇汉昆路和卫泾路路口
碧悦湾,12000,3居/4居,128~148平米,在售,普通住宅/花园洋房/品牌地产/,[中,昆山市张浦中学,[中环以外]张浦镇港浦路与商鞅路交汇处
中信广场,12500,中信广场在售价格为：12500元/平方米,,在售,标准写字楼/小户型,[中,,[中环以外]花桥镇商务大道99号
恒大御景湾,12500,3居/4居,93~135平米,在售,普通住宅/品牌地产/景观居所/公园地产,[请,,[请选择]周边港区(乍浦)龙湫路与陈山路交汇处
裕元新天地广场,13000,裕元新天地广场均价为：13000元/平方米,,在售,标准写字楼/豪华居住区/景观居所,[中,,[中环以内]玉山镇长江中路198号
万悦花园,13000,万悦花园均价为：13000元/平方米,,在售,联排/普通住宅/品牌地产,[中,,[中环以外]周市镇华杨南路和规一路交叉路口
台协国际商务广场,13000,台协国际商务广场在售价格为：13000元/平方米,,在售,标准写字楼/打折优惠楼盘,[中,,[中环以内]开发区前进东路399号(会展中心对面)
领峯国际,13000,领峯国际在售价格为：13000元/平方米,,在售,商住公寓/小户型,[中,,[中环以外]花桥江苏省昆山市徐公桥路与光明路交汇处
神州通·城栖印象,13500,2居/3居,92~143平米,在售,普通住宅/不限购/,[中,昆山市费俊龙中学,[中环以外]巴城镇祖冲之路与景新路交界
璞悦花园,13500,2居,89~107平米,在售,普通住宅/叠拼/低密居所,[中,,[中环以外]玉山镇北门路玉杨路路口
光华糖果公元,13500,1居,60平米,在售,商住公寓/小户型,[中,,[中环以外]花桥镇花桥国际商务城赛格电子市场东面
东亚沪西香颂,13600,2居,65~89平米,在售,普通住宅,[请,,[请选择]周边嘉善姚庄镇河滨路学苑路交汇处
神州通北城新境,13800,2居,114平米,在售,普通住宅/品牌地产/低总价,[中,,[中环以外]玉山镇北门路和迎宾路交叉口
光合工社,14000,光合工社14000元/平方米,,在售,商住公寓/小户型/地铁沿线/不限购,[中,,[中环以外]花桥镇云桥路118号
尚景苑二期,14000,尚景苑二期在售住宅价格约14000-15700元/㎡,,在售,花园洋房,[中,,[中环以外]千灯镇尚书路43号
融和华府,14000,融和华府14000元/平方米,,在售,商住楼/品牌地产/低总价/小户型,[中,,[中环以外]周边县府街与万和路交汇处
兰亭都荟,14182,2居/3居/4居,92~129平米,在售,普通住宅/品牌地产,[中,,[中环以外]张浦镇新吴街与通湖路交汇处
海伦堡·云璟台,14600,2居/3居,75~115平米,在售,普通住宅/品牌地产,[中,,[中环以外]千灯镇黄浦江与炎东路交汇
华德力公园壹号,14800,华德力公园壹号在售房源价格约14800元/㎡,,在售,普通住宅/花园洋房/景观居所/,[中,昆山市张浦中学,[中环以外]张浦镇通湖路与翰林路交汇处
漫栖园,15000,2居/3居/4居,82~143平米,在售,普通住宅/购物中心/品牌地产/湖景地产,[中,,[中环以外]巴城镇湖滨路与学院路交汇处
水月源岸花园,15000,3居/4居,95~186平米,在售,合院/叠拼/品牌地产/低密居所,[中,,[中环以外]周庄镇大桥路588号
印象花园,15000,3居,93~94平米,在售,普通住宅/品牌地产/小户型,[中,,[中环以外]玉山镇晨丰路和新城南路交汇处
花桥公馆,15000,花桥公馆在售价格为：15000元/平方米,,在售,别墅/特色别墅/旅游地产,[中,,[中环以外]花桥镇薛赵路99号(光明路薛赵路)
绿地未来中心,15000,绿地未来中心预计2020年底27#胶囊公寓交房,,在售,商用公寓/品牌地产/小户型/不限购,[中,,[中环以外]花桥镇集善路与金中路交叉口
阳光天地商业广场,15000,1居,50平米,在售,购物中心/经济住宅/湖景地产,[请,,[请选择]昆山周边经济开发区郭新东路南侧、尹山湖路西侧
印溪佳园,15000,2居/3居/4居,72~149平米,在售,普通住宅/花园洋房/品牌地产/现房,[中,,[中环以外]周边太仓市姚泾南路6号(沙溪新政府大楼斜对面)
宝成国际商圈,15000,1居/2居/3居,46~79平米,在售,商住楼/小户型,[中,,[中环以内]周市镇长江北路288号(长江北路与翠薇路交汇处)
旭辉未来城,15500,2居/3居,65~105平米,在售,普通住宅/品牌地产,[请,,[请选择]周边嘉善县姚庄镇河滨路268号综合楼
恒融广场,16000,1居,45~83平米,在售,商住楼/现房/小户型/酒店式公寓,[中,,[中环以内]玉山镇人民南路998号(中华园路与人民南路交汇处)
悦东区,16000,2居/3居,50~100平米,在售,商住楼/低总价/小户型/loft,[中,,[中环以外]周边苏州工业园区复兴街与双圩路交叉口(时尚舞台商场西侧)
颐和天樾花园,16500,2居/3居,85~125平米,在售,普通住宅/品牌地产/国际化社区/景观居所,[中,,[中环以外]千灯镇炎东路与桑园路交会处
兰亭珑悦花园,16701,3居,90~115平米,在售,普通住宅/品牌地产/地铁沿线,[中,,[中环以外]陆家镇友谊路8号
越洋国际,17000,越洋国际预计2020年6月1日1#精装交房,,在售,商住楼/地铁沿线,[中,,[中环以外]花桥镇光明路288号
万象汇商业中心2#,17000,万象汇商业中心2#在售40年产权办公楼房源,,在售,标准写字楼/品牌地产/地铁沿线,[中,,[中环以内]玉山镇鹿城路218号
云谷周庄,17000,2居/3居,69~182平米,在售,普通住宅/花园洋房/景观居所,[中,,[中环以外]周庄镇大桥路1688号
万科魅力花园,18000,2居,86~127平米,在售,普通住宅/品牌地产/低总价,[中,,[中环以外]花桥镇集善路与滨江路交叉口
花桥梦世界,18000,1居,47平米,在售,商住楼/品牌地产/创意地产,[中,,[中环以外]花桥镇金捷路68号
富力湾,18000,4居,420~482平米,在售,别墅/湖景地产/旅游地产,[中,,[中环以外]淀山湖镇万园路88号
福侬庄园,18000,2居/3居,85~118平米,在售,普通住宅/特色别墅/景观居所,[中,,[中环以外]淀山湖镇淀兴路与曙光路交汇处
荷玛诗湾,18500,5居,283平米,在售,别墅/水景地产,[中,,[中环以外]淀山湖镇双永路999号
荷玛诗湾,18500,5居,283平米,在售,别墅/水景地产,[中,,[中环以外]淀山湖镇双永路999号
万科常春藤,19000,2居/3居,90~125平米,在售,普通住宅/花园洋房/品牌地产/低密居所,[中,,[中环以外]锦溪镇淀山湖畔同周公路99号
淀湖·鹿鸣九里,19100,2居/3居,85~120平米,在售,别墅/旅游地产,[中,,[中环以外]淀山湖镇万园路66号
昆城景苑,19300,2居/3居/4居,90~140平米,在售,普通住宅/现房,[中,,[中环以内]玉山镇衡山路与人民南路交汇处
碧桂园淀湖花园,19980,3居,128~140平米,在售,别墅/景观居所/宜居生态地产,[中,,[中环以外]千灯镇淀山湖北岸新乐路2002号
滨江裕花园,20000,1居/2居,69~94平米,在售,普通住宅/品牌地产/江景地产,[中,,[中环以外]花桥镇西环路与金峰路交叉口
湖光里,20000,5居,294平米,在售,别墅,[中,,[中环以外]张浦镇兴盛路8号
棕榈湾,21000,2居/3居/4居/5居以上,90~385平米,在售,独栋/联排/特色别墅,[中,,[中环以外]花桥镇绿地大道1339号
星悦天地,21000,2居,37~44平米,在售,商住公寓/小户型,[中,,[中环以外]花桥镇外青松公路胜巷路路口
绿城昆山玫瑰园,21000,绿城昆山玫瑰园21000元/平方米,,在售,别墅/景观居所/特色别墅,[中,,[中环以外]巴城镇湖滨路3888号
伟鹏金郡,21000,2居,48~49平米,在售,酒店式公寓/小户型/复式,[中,,[中环以外]花桥镇光明路196号(光明路地铁站往东150米路北)
象屿名俊豪庭,21068,1居/2居/3居,70~117平米,在售,普通住宅/品牌地产/现房/低总价,[中,,[中环以外]花桥镇花桥曹浦路77号(近曹安公路)
廊桥嘉苑,21500,1居/2居/3居/4居,72~140平米,在售,普通住宅/地铁沿线,[中,,[中环以外]花桥镇廊桥路与商务大道路口
建滔裕园,21600,3居/4居/5居,160~295平米,在售,联排/双拼/品牌地产/现房,[中,,[中环以外]花桥镇西环路605号
上湾璟园,22000,3居/4居,105~147平米,在售,大平层/品牌地产/国际化社区/低密居所,[中,,[中环以外]开发区岷江路88号
朗悦花园,22000,3居/4居,114~138平米,在售,普通住宅/品牌地产,[中,,[中环以内]周市镇青阳北路与昆太路交叉口西100米
景悦澜庭,22000,3居/4居,87~153平米,在售,普通住宅/低密居所,[中,,[中环以外]开发区景王路与夏西街路口;夏西街288号
嘉宝梦之悦,22200,2居,82~87平米,在售,普通住宅,[中,,[中环以外]花桥镇金捷路86号
中大万科·瑧望花园,22500,3居/4居,110~140平米,在售,普通住宅/品牌地产,[中,,[中环以内]玉山镇长江中路与朝阳中路交汇处
鑫宇嘉苑,23000,3居,120~128平米,在售,普通住宅/品牌地产/地铁沿线,[中,,[中环以外]花桥镇寰盛路和丰路核心区
博威黄金海岸,23000,4居/5居,170~232平米,在售,普通住宅/景观居所/水景地产,[中,,[中环以内]周市镇新纬路888号
